Current,Voltage,Ah Out,Cumulative Actual Disch Ah,Power,Remaining Capacity,Time to Depletion,type,capacity,charged,prediction
9.17,12.22,0.1528333333333333,0.456,112.0574,69.544,27301.897491821157,b3,88.35,70.0,[27328.82434549]
9.17,12.22,0.1528333333333333,0.6088333333333333,112.0574,69.39116666666666,27241.897491821153,b3,88.35,70.0,[27317.61088682]
19.11,12.04,0.3185,0.9273333333333332,230.0844,69.07266666666666,13012.119309262163,b3,88.35,70.0,[12949.78413934]
19.07,12.01,0.3178333333333333,1.2451666666666668,229.0307,68.75483333333334,12979.412690089146,b3,88.35,70.0,[12930.55371074]
19.06,12.0,0.3176666666666666,1.5628333333333333,228.71999999999997,68.43716666666667,12926.22245540399,b3,88.35,70.0,[12886.77990272]
19.53,11.98,0.3255,1.8883333333333332,233.96940000000004,68.11166666666666,12555.145929339476,b3,88.35,70.0,[12565.54876958]
19.51,11.98,0.3251666666666667,2.2135,233.72980000000004,67.7865,12508.016401845209,b3,88.35,70.0,[12536.97845791]
19.5,11.97,0.325,2.5385,233.415,67.4615,12454.430769230768,b3,88.35,70.0,[12493.50829374]
23.96,11.89,0.3993333333333334,2.9378333333333333,284.8844,67.06216666666667,10076.118530884807,b3,88.35,70.0,[10214.61192591]
23.96,11.86,0.3993333333333334,3.3371666666666666,284.1656,66.66283333333334,10016.118530884807,b3,88.35,70.0,[10025.73676369]
23.96,11.86,0.3993333333333334,3.7365,284.1656,66.2635,9956.118530884807,b3,88.35,70.0,[9971.79204392]
23.87,11.85,0.3978333333333333,4.134333333333333,282.8595,65.86566666666667,9933.657310431505,b3,88.35,70.0,[9909.81708518]
24.48,11.84,0.408,4.542333333333334,289.8432,65.45766666666667,9626.127450980392,b3,88.35,70.0,[9587.69025267]
24.46,11.82,0.4076666666666667,4.95,289.1172,65.05,9573.998364677023,b3,88.35,70.0,[9567.83339137]
24.44,11.81,0.4073333333333334,5.357333333333334,288.63640000000004,64.64266666666667,9521.833060556464,b3,88.35,70.0,[9527.77129629]
24.96,11.8,0.416,5.773333333333334,294.528,64.22666666666666,9263.461538461535,b3,88.35,70.0,[9256.72393493]
24.95,11.79,0.4158333333333333,6.189166666666668,294.16049999999996,63.810833333333335,9207.174348697396,b3,88.35,70.0,[9200.82633881]
24.92,11.78,0.4153333333333334,6.604500000000002,293.5576,63.3955,9158.258426966291,b3,88.35,70.0,[9161.69654038]
24.91,11.77,0.4151666666666667,7.0196666666666685,293.1907,62.980333333333334,9101.93496587716,b3,88.35,70.0,[9131.34488526]
5.94,12.13,0.099,7.118666666666669,72.05220000000001,62.88133333333333,38109.89898989898,b3,88.35,70.0,[37636.41846069]
5.94,12.15,0.099,7.217666666666669,72.171,62.782333333333334,38049.89898989899,b3,88.35,70.0,[37466.32862451]
5.93,12.16,0.0988333333333333,7.316500000000002,72.1088,62.683499999999995,38054.06408094435,b3,88.35,70.0,[38050.22759167]
5.92,12.16,0.0986666666666666,7.415166666666669,71.9872,62.58483333333333,38058.34459459459,b3,88.35,70.0,[38061.09904375]
5.92,12.16,0.0986666666666666,7.513833333333335,71.9872,62.48616666666666,37998.34459459459,b3,88.35,70.0,[38042.774712]
5.91,12.17,0.0985,7.612333333333335,71.9247,62.38766666666667,38002.63959390863,b3,88.35,70.0,[38057.11090334]
26.51,11.84,0.4418333333333333,8.054166666666669,313.8784,61.94583333333333,8412.108638249716,b3,88.35,70.0,[8663.48999279]
24.25,11.78,0.4041666666666667,8.458333333333336,285.66499999999996,61.541666666666664,9136.082474226803,b3,88.35,70.0,[9196.72023211]
24.22,11.77,0.4036666666666667,8.862000000000002,285.0694,61.138,9087.398843930636,b3,88.35,70.0,[9155.24404855]
24.21,11.76,0.4035,9.2655,284.7096,60.7345,9031.152416356876,b3,88.35,70.0,[9094.88806473]
18.77,11.9,0.3128333333333333,9.578333333333337,223.363,60.42166666666667,11588.598827916889,b3,88.35,70.0,[11832.1670019]
18.31,11.84,0.3051666666666666,9.883500000000002,216.7904,60.1165,11819.7378481704,b3,88.35,70.0,[11817.86713332]
18.3,11.84,0.305,10.1885,216.672,59.811499999999995,11766.196721311477,b3,88.35,70.0,[11790.307968]
